* Bauteilliste aus Datei: "WoMoControl_1.0.lay6" / 10.05.2022 12:42:11
*
* Alle Koordinaten in mm
*
* No	Name	Value	Layer	Pos-X	Pos-Y	Rot	Package
*
1			Top	---	---	---	---
2			Top	---	---	---	---
3			Top	---	---	---	---
4			Top	---	---	---	---
5			Top	46.430	20.423	0	SOP_8
6			Top	46.430	14.589	0	SOP_8
7			Top	46.430	8.755	0	SOP_8
8	D1	1N4007	Top	54.944	37.118	270	SOD80
9	D2	1N4007	Top	54.506	26.387	270	SOD80
10	D2	1N4007	Top	54.506	23.331	270	SOD80
11	D2	1N4007	Top	54.506	20.236	270	SOD80
12	R5	1K	Top	8.917	17.725	270	1210
13	R6	1K	Top	8.917	15.225	270	1210
14	R6	1K	Top	8.917	20.226	270	1210
15	R7	1K	Top	18.186	22.767	270	1210
16	R8	1K	Top	18.146	20.227	270	1210
17	R9	1K	Top	18.106	17.687	270	1210
18	R11	1K	Top	54.549	31.899	270	1210
19	R11	1K	Top	54.549	34.439	270	1210
20	R12	1K	Top	54.549	29.359	270	1210
21	X1	1x8	Top	---	---	---	---
22	X2	1x8	Top	---	---	---	---
23	X4	1x8_conn	Top	---	---	---	---
